ACC,PRE,NPV,SE,SP,MCC,PPV,AUC,AUC-PR,model,kernel size
0.815010571,0.765155974,0.889376645,0.911640953,0.717422096,0.641671479,0.832,0.900227563,"0.8800129811134877
",DBP-CNN(Hybird),5
0.820295983,0.790978398,0.856803797,0.873071528,0.766997167,0.643913896,0.83,0.897437413,"0.8827682033461357
",DBP-CNN(Hybird),5
0.811134602,0.770681265,0.86683417,0.888499298,0.733002832,0.629457864,0.825407166,0.897258621,"0.884429840739767
",DBP-CNN(Hybird),5
0.807610994,0.794117647,0.822652756,0.833099579,0.781869688,0.615869177,0.813141683,0.894777881,"0.8783847548374855
",DBP-CNN(Hybird),5
0.816355305,0.761271676,0.902439024,0.924210526,0.707507082,0.647516592,0.834865293,0.901991452,"0.888396394382806
",DBP-CNN(Hybird),5
0.807610994,0.766990291,0.863865545,0.886395511,0.728045325,0.622594241,0.822381262,0.884895148,"0.8623960354515612
",DBP-CNN(Hybird),5
0.792459479,0.728563626,0.908639522,0.93548387,0.648016997,0.609761093,0.819158735,0.89570462,"0.8756221377358188
",DBP-CNN(Hybird),5
0.798449612,0.7353914,0.910156249,0.93548387,0.660056657,0.620040151,0.82345679,0.900599549,"0.8914966897288987
",DBP-CNN(Hybird),5
0.826286117,0.811207471,0.843166542,0.852734922,0.79957507,0.653341189,0.831452991,0.903170679,"0.8910894073137325
",DBP-CNN(Hybird),5
0.817765245,0.796732026,0.842387145,0.855438596,0.779745042,0.637148367,0.825042301,0.892508325,"0.8784283397551047
",DBP-CNN(Hybird),5
0.811839323,0.799731182,0.825185185,0.834502103,0.788951841,0.624184728,0.81674674,0.893918685,"0.8754906033902391
",DBP-CNN(Hybird),5
0.81042988,0.771062271,0.864166666,0.885694249,0.734419263,0.627625723,0.824412532,0.893354497,"0.8750842933396052
",DBP-CNN(Hybird),5
0.811134602,0.821531791,0.801237964,0.797335203,0.825070821,0.622587864,0.809252669,0.904082519,"0.8916393567078101
",DBP-CNN(Hybird),5
0.824171952,0.773774365,0.898689956,0.918653576,0.728753541,0.659816784,0.840012824,0.904549861,"0.8913391916776208
",DBP-CNN(Hybird),5
0.823405005,0.792035398,0.862948206,0.879298245,0.766997167,0.650625007,0.833388759,0.900852343,"0.8870570482849169
",DBP-CNN(Hybird),5
0.790697674,0.716216216,0.947483588,0.96633941,0.613314447,0.62025491,0.822686567,0.895112123,"0.8749709321181609
",DBP-CNN(Hybird),5
0.813248767,0.762910798,0.888888888,0.911640953,0.713881019,0.638525666,0.830670926,0.898882649,"0.8841632505661469
",DBP-CNN(Hybird),5
0.819591261,0.835535976,0.804878048,0.798036465,0.841359773,0.63990493,0.81635581,0.903460223,"0.8920340958319654
",DBP-CNN(Hybird),5
0.821000705,0.796511627,0.850387596,0.864656381,0.776912181,0.64422838,0.829186281,0.904217606,"0.8893835719394212
",DBP-CNN(Hybird),5
0.831512161,0.810085134,0.856488549,0.868070175,0.794617563,0.664627871,0.83807588,0.9039834,"0.8912979047123462
",DBP-CNN(Hybird),5
0.816067653,0.801333333,0.832585949,0.84291725,0.788951841,0.632893357,0.821599453,0.895168243,"0.8752966064954127
",DBP-CNN(Hybird),5
0.814305849,0.771273385,0.874682472,0.896213183,0.731586402,0.636813018,0.829062601,0.897385017,"0.8779501077612882
",DBP-CNN(Hybird),5
0.801268499,0.740513392,0.905353728,0.930575034,0.670679886,0.623161926,0.824735861,0.894818357,"0.8782542318716355
",DBP-CNN(Hybird),5
0.819591261,0.768507638,0.89612676,0.917251051,0.720963172,0.651290356,0.836317135,0.903160746,"0.8877625521470365
",DBP-CNN(Hybird),5
0.819880155,0.828776978,0.811333793,0.808421052,0.831444759,0.63998828,0.818472469,0.898554744,"0.8853367495660421
",DBP-CNN(Hybird),5
0.819238901,0.774174174,0.883205455,0.903927068,0.733711048,0.647433633,0.834034293,0.899709066,"0.8850536871920409
",DBP-CNN(Hybird),9
0.817124736,0.795825179,0.842145593,0.855539971,0.778328611,0.635916371,0.824602906,0.893627652,"0.877729965835963
",DBP-CNN(Hybird),9
0.835447498,0.815668202,0.858225928,0.868863955,0.801699716,0.672226839,0.841426146,0.911639464,"0.9019483153933203
",DBP-CNN(Hybird),9
0.846018323,0.838466803,0.8540305,0.859046283,0.832861189,0.692202326,0.848631797,0.915520245,"0.9037911803698355
",DBP-CNN(Hybird),9
0.822700035,0.797036082,0.853696497,0.868070175,0.776912181,0.647851089,0.831037957,0.901673873,"0.8858774363178143
",DBP-CNN(Hybird),9
0.823819591,0.786509901,0.873158755,0.891304347,0.755665722,0.65328851,0.835634451,0.901144865,"0.8849285463963319
",DBP-CNN(Hybird),9
0.818534179,0.806321452,0.831976313,0.840813464,0.796033994,0.6375722,0.823206316,0.901520577,"0.8856160475342597
",DBP-CNN(Hybird),9
0.835095137,0.829436038,0.841040462,0.8457223,0.824362606,0.670280675,0.8375,0.911090423,"0.9025320378780678
",DBP-CNN(Hybird),9
0.841085271,0.849462365,0.832986832,0.830995792,0.851274787,0.682359883,0.840127614,0.917098085,"0.9057042144592118
",DBP-CNN(Hybird),9
0.819175185,0.844931921,0.796699669,0.783859649,0.854815863,0.640151846,0.813250819,0.905574773,"0.8921707003751007
",DBP-CNN(Hybird),9
0.822410148,0.811066126,0.834808259,0.84291725,0.801699716,0.645245371,0.826685007,0.900126247,"0.8799214948267173
",DBP-CNN(Hybird),9
0.818534179,0.791426743,0.851764705,0.86746143,0.769121812,0.639878816,0.827701572,0.898099937,"0.8852459221101505
",DBP-CNN(Hybird),9
0.841789993,0.824584717,0.861215303,0.870266479,0.813031161,0.684547688,0.846809962,0.907063876,"0.889927005498325
",DBP-CNN(Hybird),9
0.81042988,0.750281849,0.910714285,0.933380083,0.686260623,0.639984463,0.831875,0.908192253,"0.893533814106637
",DBP-CNN(Hybird),9
0.834684526,0.797263681,0.883645239,0.899649122,0.769121812,0.674812638,0.845367623,0.910310621,"0.8956715641693126
",DBP-CNN(Hybird),9
0.819943622,0.809330628,0.831493745,0.839410939,0.800283286,0.640259051,0.824096385,0.898501722,"0.8777578649026657
",DBP-CNN(Hybird),9
